District,Village,HH_ID,Burnt,Latitude (Baseline measurement),Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Lat_Median,Lon_Median
Patiala,Danipur,416537,Y,30.20420333,76.20423667,,,30.206089,76.204376,30.20514617,76.20430634
Patiala,Danipur,416538,Y,30.1211209,76.121653,30.204098,76.204412,30.121371,76.123756,30.1488633,76.14994033
Patiala,Ghiora,423101,Y,30.51816333,76.40468,,,30.124472,76.267277,30.32131767,76.3359785
Patiala,Ghiora,423104,Y,30.531255,76.40436333,,,,,30.531255,76.40436333
Patiala,Ghiora,423105,Y,,,,,,,,
Patiala,Ghiora,423110,Y,30.12481833,76.270485,,,30.075585,76.160897,30.10020167,76.215691
Patiala,Ghiora,423116,Y,30.12551833,76.26917333,,,,,30.12551833,76.26917333
Patiala,Ghiora,423121,Y,30.1251907,76.271286,,,,,30.1251907,76.271286
Patiala,Ghiora,423125,Y,30.12818667,76.28338167,,,,,30.12818667,76.28338167
Patiala,Ghiora,423127,Y,30.19657,76.34593833,30.335459,76.4066509,,,30.2660145,76.37629462
Patiala,Ghiora,423129,Y,30.75932667,76.08998167,,,,,30.75932667,76.08998167
